"Domain Id","Domain Name","Device Id","Device Name","Plan Id","Plan Name","Device Type","Device SubType","Last Seen"
"domain:6b75850a-7725-392e-b724-6ac0b1f40f93","shotover.thingstream.io","device:10b0203f-caa9-46ad-92df-a4eb7d1a7d5c","test1","plan:f1179029-9444-3150-9bd7-1942d7c2acb9","PointPerfect L-band","POINTPERFECT","PointPerfect","Mon Sep 09 19:25:55 UTC 2024"
"domain:6b75850a-7725-392e-b724-6ac0b1f40f93","shotover.thingstream.io","device:120471c6-adcd-47ec-afd6-673022c29ec3","N208CN","plan:53d2c0db-b7bf-36a4-8b72-5f8335cf4c42","PointPerfect Developer","POINTPERFECT","PointPerfect","Fri Aug 09 18:31:56 UTC 2024"
"domain:e8ba822e-6bbb-3bbe-b120-7bc314e2f2e4","beehivebeach.thingstream.io","device:63f4b9d5-022b-417c-909e-f9656b9db9c7","bb01","plan:53d2c0db-b7bf-36a4-8b72-5f8335cf4c42","PointPerfect Developer","POINTPERFECT","PointPerfect","Mon Sep 09 23:22:46 UTC 2024"
"domain:ce929284-2093-354f-8a1f-3ee78b8edce9","usqhypr.thingstream.io","device:9944f996-2b50-4482-9239-b424eb3f640e","Device 2","plan:53d2c0db-b7bf-36a4-8b72-5f8335cf4c42","PointPerfect Developer","POINTPERFECT","PointPerfect","Fri Sep 06 09:48:16 UTC 2024"
"domain:ce929284-2093-354f-8a1f-3ee78b8edce9","usqhypr.thingstream.io","device:a7c8c322-aaf0-4782-8ed7-72e641f4e3b4","F9 NTRIP e-mail promotion.  1 month subscription to the PointPerfect IP plan","plan:569b5ee4-c81a-36d6-a81a-42fb4abdd2f1","PointPerfect IP","POINTPERFECT","PointPerfect","Thu Sep 05 15:09:41 UTC 2024"
"domain:4015a3f6-4c9e-347c-ad2d-c77a3611478c","kilohercas.thingstream.io","device:e9fd6de8-6d5d-4dd5-984d-93f2a66d20a6","uBlox SARA-R422S","plan:d206a6ff-c4b3-3b9f-88f4-184ca0808b14","CellLocate Developer","CELL_LOCATE_TOKEN","CellLocate","Sun Sep 08 00:00:00 UTC 2024"
"domain:7749041d-2e4e-31a4-8a07-5765e9699ea5","pointperfect.thingstream.io","device:e27286d3-7ac2-4c10-932c-5876f0cb9cd7","F9P","plan:d48b5418-f221-3fc4-b100-c18c60791ec9","PointPerfect 100H","POINTPERFECT","PointPerfect","Thu Sep 05 12:38:13 UTC 2024"
"domain:832f6081-92b3-33d7-b9ee-c21a9097ed22","x-log.thingstream.io","device:348320cc-2ac7-42d2-9dc2-9ff36a07fce1","u-blox sales team approved 2 months free subscription to the PointPerfect IP plan","plan:53d2c0db-b7bf-36a4-8b72-5f8335cf4c42","PointPerfect Developer","POINTPERFECT","PointPerfect","Tue Sep 03 14:03:07 UTC 2024"
"domain:940cb28d-5f5e-3b84-bb93-b6efc8d2b23e","mosaic51.thingstream.io","device:ce27b05b-58b1-4fa7-8688-6788f2c2b92d","test1","plan:f1179029-9444-3150-9bd7-1942d7c2acb9","PointPerfect L-band","POINTPERFECT","PointPerfect","Mon Sep 09 15:06:38 UTC 2024"
"domain:9988b09b-7c64-38b4-b6fd-a223318016f7","stepup.thingstream.io","device:0f32f9d9-7edc-4110-9798-26a11f56831f","Test","plan:d48b5418-f221-3fc4-b100-c18c60791ec9","PointPerfect 100H","POINTPERFECT","PointPerfect","Wed Sep 04 20:56:23 UTC 2024"
"domain:8bd01c57-5739-3531-a1b0-2631a493c540","droneverse.thingstream.io","device:3084b15c-604e-4685-b7b7-a1e757a3a0a8","RTK-Rover","plan:d48b5418-f221-3fc4-b100-c18c60791ec9","PointPerfect 100H","POINTPERFECT","PointPerfect","Thu Sep 05 10:42:48 UTC 2024"
"domain:d28ea83d-006f-34d9-996a-0f069898edc7","msdhfmunt11.thingstream.io","device:409c7c74-9b7b-4172-907f-7ad39cbdb9be","EVK-F9P","plan:53d2c0db-b7bf-36a4-8b72-5f8335cf4c42","PointPerfect Developer","POINTPERFECT","PointPerfect","Sun Sep 08 12:43:25 UTC 2024"
"domain:9ce90fce-8f37-30a8-986b-21596178088f","optimotive.thingstream.io","device:678e5e18-aa5f-47c4-988e-c40899f04a29","u-blox-trial-1","plan:89c4c0a3-28b7-327a-8f0a-384181f5f685","PointPerfect L-band and IP","POINTPERFECT","PointPerfect","Mon Sep 09 21:35:08 UTC 2024"
"domain:9ce90fce-8f37-30a8-986b-21596178088f","optimotive.thingstream.io","device:947495bd-f735-4afa-8f2c-dc203319c604","u-blox trial 2","plan:89c4c0a3-28b7-327a-8f0a-384181f5f685","PointPerfect L-band and IP","POINTPERFECT","PointPerfect",""
"domain:37cca7ae-97c3-3e69-a297-2098de5a91e7","incoherent1.thingstream.io","device:f7c029a7-a69f-4140-852f-5046d247464b","f9p-motoe","plan:d48b5418-f221-3fc4-b100-c18c60791ec9","PointPerfect 100H","POINTPERFECT","PointPerfect","Wed Sep 04 20:30:48 UTC 2024"
"domain:f81a18b5-adcb-38ce-96e5-267731b71c95","agrowizard.thingstream.io","device:ca8517d8-d5ae-453c-a20a-b141454c180e","hw2-proto","plan:53d2c0db-b7bf-36a4-8b72-5f8335cf4c42","PointPerfect Developer","POINTPERFECT","PointPerfect","Wed Sep 04 14:59:33 UTC 2024"
"domain:f81a18b5-adcb-38ce-96e5-267731b71c95","agrowizard.thingstream.io","device:eacbc272-2bb4-412c-bb7b-6bbf9ed40939","aw-test-1","plan:f1179029-9444-3150-9bd7-1942d7c2acb9","PointPerfect L-band","POINTPERFECT","PointPerfect","Fri Mar 29 16:10:22 UTC 2024"
"domain:4dbff137-871a-3d46-bfcd-a943411a674e","geniussproducts.thingstream.io","device:0e63079b-6a0d-4a1a-90f3-105d0a91c9a5","Jake","plan:19af6429-2813-3223-a807-79e6cade6626","AssistNow Online Developer","ASSIST_NOW_ONLINE_TOKEN","AssistNow Online",""
"domain:4dbff137-871a-3d46-bfcd-a943411a674e","geniussproducts.thingstream.io","device:4e335e12-7fc7-45bd-9ce5-90b98d8a2d52","GeNiuSS NTRIP Test","plan:d48b5418-f221-3fc4-b100-c18c60791ec9","PointPerfect 100H","POINTPERFECT","PointPerfect","Fri Sep 06 16:16:51 UTC 2024"